Domaine;Titre;Sous_Titre;Référence_Reglementaire;ID_Article;Exigence;Documents_Justificatif;Lien_1;Lien_2;Lien_3;Lien_4;Derniere_verification_JO
Produits dangereux;Biphényles polychlorés (PCB / PCT);0;"Décret n ° 87-182 du 19 août 1987 sur les PCB, équipement électrique contenant des PCB et des matériaux contaminés par des PCB; Art. 10";8;Si l installation contient de l huile contenant des PCB, des équipements électriques contenant ces huiles ou des matériaux contaminés par les PCB, il a informé le Département de la défense civile, le département de l environnement et le service de santé du gouverneur correspondant avant le 18 février 1988.;* Notification sur la maintenance contenant des PCB contenant des PCB, des équipements électriques contenant ou des matériaux contaminés par des PCB;0;0;0;0;17/07/2026
Produits dangereux;Biphényles polychlorés (PCB / PCT);0;"Décret n ° 87-182 du 19 août 1987 sur les PCB, équipement électrique contenant des PCB et des matériaux contaminés par des PCB; Annexe 3, Art. 11";9;Les locaux où les équipements électriques utilisant des PCB sont utilisés sont suffisamment ventilés.;nan;0;0;0;0;17/07/2026
Produits dangereux;Biphényles polychlorés (PCB / PCT);0;"Décret n ° 87-182 du 19 août 1987 sur les PCB, équipement électrique contenant des PCB et des matériaux contaminés par des PCB; Annexe 3, Art. 11";10;"Les locaux où les équipements électriques utilisant des PCB sont utilisés sont marqués d un panneau ""avertissement de PCB"" (""Danger PCB"") approprié.";nan;0;0;0;0;17/07/2026
Produits dangereux;Biphényles polychlorés (PCB / PCT);0;"Décret n ° 87-182 du 19 août 1987 sur les PCB, équipement électrique contenant des PCB et des matériaux contaminés par des PCB; Annexe 3, Art. 11";11;Les locaux où l équipement électrique utilisant des PCB sont utilisés ont des planchers fabriqués à partir de ciment anti-fuite, sans égouts et qui sont suffisamment délimités permettant de contenir une fuite accidentelle d huile contenant des PCB.;nan;0;0;0;0;17/07/2026
Produits dangereux;Biphényles polychlorés (PCB / PCT);0;"Décret n ° 87-182 du 19 août 1987 sur les PCB, équipement électrique contenant des PCB et des matériaux contaminés par des PCB; Annexe 3, Art. 11";12;Les locaux où l équipement électrique utilisant des PCB sont utilisés ont des murs externes appropriés qui empêchent le feu de se propager et les murs de séparation qui arrêtent les flammes.;nan;0;0;0;0;17/07/2026
Produits dangereux;Biphényles polychlorés (PCB / PCT);0;"Décret n ° 87-182 du 19 août 1987 sur les PCB, équipement électrique contenant des PCB et des matériaux contaminés par des PCB; Annexe 3, Art. 11";13;Les locaux où l équipement électrique utilisant des PCB sont utilisés ont des portes résistantes au feu, équipées d un systéme de fermeture automatique et doivent s ouvrir à l extérieur.;nan;0;0;0;0;17/07/2026
Produits dangereux;Biphényles polychlorés (PCB / PCT);0;"Décret n ° 87-182 du 19 août 1987 sur les PCB, équipement électrique contenant des PCB et des matériaux contaminés par des PCB; Annexe 3, Art. 11";14;Il y a une pelle et un sac contenant 50 kg de sable à l entrée des bâtiments où des équipements électriques à l aide de PCB sont utilisés.;nan;0;0;0;0;17/07/2026
Produits dangereux;Biphényles polychlorés (PCB / PCT);0;"Décret n ° 87-182 du 19 août 1987 sur les PCB, équipement électrique contenant des PCB et des matériaux contaminés par des PCB; Annexe 3, Art. 11";15;Les locaux où les équipements électriques utilisant des PCB sont utilisés sont équipés d un nombre suffisant d extincteurs.;nan;0;0;0;0;17/07/2026
Produits dangereux;Biphényles polychlorés (PCB / PCT);0;"Décret n ° 87-182 du 19 août 1987 sur les PCB, équipement électrique contenant des PCB et des matériaux contaminés par des PCB; Art. 12";16;Les condenseurs électriques contenant de l huile contaminés par des PCB sont équipés d un systéme anti-éclaboussures.;nan;0;0;0;0;17/07/2026
Produits dangereux;Biphényles polychlorés (PCB / PCT);0;"Décret n ° 87-182 du 19 août 1987 sur les PCB, équipement électrique contenant des PCB et des matériaux contaminés par des PCB; Annexe 5, Art. 14";17;Les PCB contenant de l huile ne sont manipulés et transportés que dans des conteneurs résistants et à l épreuve des fuites.;nan;0;0;0;0;17/07/2026
Produits dangereux;Biphényles polychlorés (PCB / PCT);0;"Décret n ° 87-182 du 19 août 1987 sur les PCB, équipement électrique contenant des PCB et des matériaux contaminés par des PCB; Annexe 5, Art. 14";18;Pendant le transport, l huile contenant des PCB est placée dans le véhicule en fonction de la solidité du sol et du centre de gravité du véhicule.;nan;0;0;0;0;17/07/2026
Produits dangereux;Biphényles polychlorés (PCB / PCT);0;"Décret n ° 87-182 du 19 août 1987 sur les PCB, équipement électrique contenant des PCB et des matériaux contaminés par des PCB; Annexe 5, Art. 134";19;Pendant le transport, tous les articles transportés dans les mêmes véhicules avec des PCB contenant de l huile sont fixés de maniére à ne pas provoquer des accidents impliquant la perforation de conteneurs d huile contenant des PCB.;nan;0;0;0;0;17/07/2026
Produits dangereux;Biphényles polychlorés (PCB / PCT);0;"Décret n ° 87-182 du 19 août 1987 sur les PCB, équipement électrique contenant des PCB et des matériaux contaminés par des PCB; Annexe 5, Art. 14";20;Avant le transport, les condenseurs électriques contenant des PCB contenant de l huile sont emballés avec du plastique et fixés sur une palette.;nan;0;0;0;0;17/07/2026
Produits dangereux;Biphényles polychlorés (PCB / PCT);0;"Décret n ° 87-182 du 19 août 1987 sur les PCB, équipement électrique contenant des PCB et des matériaux contaminés par des PCB; Annexe 5, Art. 14";21;"L installation garantit que le transport de PCB contenant de l huile est effectué uniquement dans les véhicules ayant le panneau ""Transport de PCB"" écrit en rouge sur une surface blanche.";nan;0;0;0;0;17/07/2026
Produits dangereux;Biphényles polychlorés (PCB / PCT);0;"Décret n ° 87-182 du 19 août 1987 sur les PCB, équipement électrique contenant des PCB et des matériaux contaminés par des PCB; Art. 15";22;L installation ne réutilise aucun emballage qui a servi pour l huile contenant des PCB ou pour des matériaux contaminés par celui-ci.;nan;0;0;0;0;17/07/2026
Produits dangereux;Biphényles polychlorés (PCB / PCT);0;"Décret n ° 87-182 du 19 août 1987 sur les PCB, équipement électrique contenant des PCB et des matériaux contaminés par des PCB; Art. 16";23;L établissement informe immédiatement la défense civile, le Département de l environnement et le service de santé du gouvernorat correspondant en cas d incendie ou de fuites accidentelles et importantes d huile contenant des PCB, des équipements contenant ou des matériaux contaminés par celui-ci.;* Notification des incendies ou des fuites accidentelles et importantes d huile contenant des PCB, des équipements contenant ou des matériaux qui en sont contaminés.;0;0;0;0;17/07/2026
Produits dangereux;Biphényles polychlorés (PCB / PCT);0;"Décret n ° 87-182 du 19 août 1987 sur les PCB, équipement électrique contenant des PCB et des matériaux contaminés par des PCB; Art. 17";24;L installation ne décharge pas l huile contenant des PCB au réseau d égouts;nan;0;0;0;0;17/07/2026
Produits dangereux;Biphényles polychlorés (PCB / PCT);0;"Décret n ° 87-182 du 19 août 1987 sur les PCB, équipement électrique contenant des PCB et des matériaux contaminés par des PCB; Annexe 6, Art. 19";25;En cas de libération accidentelle de PCB contenant du pétrole, l établissement informe la défense civile, le Département de l environnement et le ministére de la Santé du gouvernorat correspondant;* Notification de la décharge accidentelle de l huile contenant des PCB;0;0;0;0;17/07/2026
Produits dangereux;Biphényles polychlorés (PCB / PCT);0;"Décret n ° 87-182 du 19 août 1987 sur les PCB, équipement électrique contenant des PCB et des matériaux contaminés par des PCB; Annexe 6, Art. 19";26;En cas de décharge accidentelle de l huile contenant des PCB, l installation prend des mesures pour éviter la contamination des personnes.;nan;0;0;0;0;17/07/2026
Produits dangereux;Biphényles polychlorés (PCB / PCT);0;"Décret n ° 87-182 du 19 août 1987 sur les PCB, équipement électrique contenant des PCB et des matériaux contaminés par des PCB; Annexe 6, Art. 19";27;En cas de décharge accidentelle d huile contenant des PCB, l installation récupére l huile dans des récipients ou prend d autres mesures approuvées si cela est techniquement impossible.;nan;0;0;0;0;17/07/2026
Produits dangereux;Biphényles polychlorés (PCB / PCT);0;"Décret n ° 87-182 du 19 août 1987 sur les PCB, équipement électrique contenant des PCB et des matériaux contaminés par des PCB; Annexe 6, Art. 19";28;En cas de décharge accidentelle d huile contenant des PCB, l installation obstrue tous les trous et gouttiéres, ou construit une barriére si le déversement s est produit sur le béton, l asphalte ou le sol.;nan;0;0;0;0;17/07/2026
Produits dangereux;Biphényles polychlorés (PCB / PCT);0;"Décret n ° 87-182 du 19 août 1987 sur les PCB, équipement électrique contenant des PCB et des matériaux contaminés par des PCB; Annexe 6, Art. 19";29;En cas de décharge accidentelle d huile contenant des PCB, l installation nettoie le sol avec des chiffons et utilise des solvants tels que le kéroséne, l huile de carburant, la térébenthine, le trichloroéthane varsol, etc.;nan;0;0;0;0;17/07/2026
Produits dangereux;Biphényles polychlorés (PCB / PCT);0;"Décret n ° 87-182 du 19 août 1987 sur les PCB, équipement électrique contenant des PCB et des matériaux contaminés par des PCB; Annexe 6, Art. 19";30;En cas de décharge accidentelle d huile contenant des PCB à l eau, l établissement drade les sédiments contaminés.;nan;0;0;0;0;17/07/2026
Produits dangereux;Biphényles polychlorés (PCB / PCT);0;"Décret n ° 87-182 du 19 août 1987 sur les PCB, équipement électrique contenant des PCB et des matériaux contaminés par des PCB; Annexe 6, Art. 19";31;En cas de décharge accidentelle de l huile contenant des PCB, l installation préléve des échantillons pour déterminer le degré de pénétration du sol.;* Enregistrements des résultats de l échantillonnage pour déterminer le degré de pénétration des PCB dans le sol;0;0;0;0;18/07/2026
Produits dangereux;Biphényles polychlorés (PCB / PCT);0;"Décret n ° 87-182 du 19 août 1987 sur les PCB, équipement électrique contenant des PCB et des matériaux contaminés par des PCB; Annexe 6, Art. 19";32;Si la décharge accidentelle d huile contenant des PCB se produit sur le sol, l installation vérifie si les puits et les étendues d eau ne sont pas contaminés par les PCB.;nan;0;0;0;0;18/07/2026
Produits dangereux;Biphényles polychlorés (PCB / PCT);0;"Décret n ° 87-182 du 19 août 1987 sur les PCB, équipement électrique contenant des PCB et des matériaux contaminés par des PCB; Art. 9";33;Si l installation dispose d équipements électriques contenant des huiles à base de PCB, il les vide avant leur transport ou leur stockage.;nan;0;0;0;0;18/07/2026
Produits dangereux;Mesures phytosanitaires pour l emballage en bois;0;"Ordonnance interministérielle du 5 août 2009 approuvant les régles techniques réglementant les matériaux d emballage à base de bois destinés au commerce; Annexe II, Art. 4";1;Si l installation importe ou exporte des marchandises emballées dans des matériaux d emballage en bois, il garantit que les matériaux d emballage en bois ont été traités contre les ravageurs en fonction d une mesure approuvée et affichent une marque qui atteste de ce traitement.;nan;0;0;0;0;18/07/2026
Produits dangereux;Explosifs;0;"Décret présidentiel 90-198 du 30 juin 1990 sur les explosifs; Art. 12";1;Si l installation produit des substances explosives, elle a construit une zone d incinération pour incinérer les déchets dangereux résultant de ses activités.;nan;0;0;0;0;18/07/2026
Produits dangereux;Explosifs;0;"Décret présidentiel 90-198 du 30 juin 1990 sur les explosifs; Art. 17";2;Si l installation stocke les explosifs, il a obtenu une autorisation préalable pour le faire.;* Autorisation de stocker des explosifs;0;0;0;0;18/07/2026
Produits dangereux;Explosifs;0;"Décret présidentiel 90-198 du 30 juin 1990 sur les explosifs; Art. 33";3;Si l installation produit, stocke, transporte, utilise ou échange des substances explosives, elle garantit qu elles sont marquées de maniére à permettre leur identification.;* Marquage des substances explosives;0;0;0;0;18/07/2026
Santé Sécurité;Devoir de diligence;0;"Loi 88-07 du 26 janvier 1988 sur l hygiéne, la sécurité et les soins de santé au travail; Art. 3";1;Des mesures adéquates sont prises pour assurer la santé et la sécurité des travailleurs.;nan;0;0;0;0;18/07/2026
Santé Sécurité;Devoir de diligence;0;"Décret exécutif 05-08 du 08 janvier 2005 sur des prescriptions particuliéres applicables aux substances, matériaux et produits dangereux en milieu de travail; Art. 12";2;L installation maintient et tient à jour un registre pour les substances, produits et préparations dangereux utilisés sur le lieu de travail.;* Inscrivez-vous aux substances, produits et préparations dangereux.;0;0;0;0;18/07/2026
Santé Sécurité;Exigences de prévention générale;0;"Loi 90-11 du 21 avril 1990 sur les relations de travail; Art. 75";3;Si l installation compte 20 travailleurs ou plus, des régles et réglements internes ont été établis.;* Régles et réglements internes pour les installations de 20 travailleurs ou plus.;0;0;0;0;18/07/2026
Santé Sécurité;Exigences de prévention générale;0;"Loi 90-11 du 21 avril 1990 sur les relations de travail; Art. 75";4;L employeur a informé et informé les travailleurs du contenu des régles et réglements internes.;nan;0;0;0;0;18/07/2026
Santé Sécurité;Persons / services d experts OST;0;"Décret du 16 octobre 2001 établissant des normes relatives aux moyens humains, locaux et équipements des services de santé au travail; Art. 2";5;Si l établissement emploie 800 à 2000 travailleurs et a un service autonome pour la santé au travail, et si les travailleurs sont trés exposés aux risques professionnels, l établissement nomme 2 infirmiéres.;nan;0;0;0;0;18/07/2026
Santé Sécurité;Persons / services d experts OST;0;"Décret du 16 octobre 2001 établissant des normes relatives aux moyens humains, locaux et équipements des services de santé au travail; Art. 2";6;Si l établissement emploie plus de 2 000 travailleurs et dispose d un service autonome pour la santé au travail, et si les travailleurs sont trés exposés aux risques professionnels, l établissement nomme une infirmiére supplémentaire pour chaque 1 000 travailleurs supplémentaires.;nan;0;0;0;0;18/07/2026
Santé Sécurité;Persons / services d experts OST;0;"Décret du 16 octobre 2001 établissant des normes relatives aux moyens humains, locaux et équipements des services de santé au travail; Art. 2";7;Si l établissement emploie 500 travailleurs et dispose d un service autonome pour la santé au travail, et si les travailleurs sont «mini-exposés» aux risques professionnels, l établissement nomme une infirmiére.;nan;0;0;0;0;18/07/2026
Santé Sécurité;Persons / services d experts OST;0;"Décret du 16 octobre 2001 établissant des normes relatives aux moyens humains, locaux et équipements des services de santé au travail; Art. 2";8;Si l établissement emploie 1000 travailleurs ou plus et dispose d un service autonome pour la santé au travail, et si les travailleurs sont «mini-exposés» aux risques professionnels, l établissement nomme 2 infirmiéres.;nan;0;0;0;0;18/07/2026
Santé Sécurité;Persons / services d experts OST;0;"Décret du 16 octobre 2001 établissant des normes relatives aux moyens humains, locaux et équipements des services de santé au travail; Art. 4";9;"Si les travailleurs de l installation sont trés exposés aux risques professionnels et que leur nombre est inférieur à 200 ou si les travailleurs sont ""minimalement exposés"" et que leur nombre ne dépasse pas 500, l établissement nomme une infirmiére à l infirmerie.";nan;0;0;0;0;18/07/2026
Santé Sécurité;Persons / services d experts OST;0;"Loi 88-07 du 26 janvier 1988 sur l hygiéne, la sécurité et les soins de santé au travail; Art. 23";10;Si l établissement emploie plus de 9 travailleurs avec un contrat à durée déterminée, il nomme une personne permanente pour l hygiéne et la sécurité assistées par 2 travailleurs reconnus comme les plus qualifiés pour la tâche.;nan;0;0;0;0;18/07/2026
Santé Sécurité;Persons / services d experts OST;0;"Loi 88-07 du 26 janvier 1988 sur l hygiéne, la sécurité et les soins de santé au travail; Art. 23";11;Si l établissement emploie neuf travailleurs ou moins, il nomme une personne pour l hygiéne et la sécurité.;nan;0;0;0;0;18/07/2026
Santé Sécurité;Persons / services d experts OST;0;"Décert exécutif 05-09 du 08 janvier 2005 sur les commissions conjointes pour l hygiéne et la sécurité; Art. 25";12;La personne nommée pour l hygiéne et la sécurité dans l établissement communique à l employeur un rapport annuel sur l état des risques professionnels.;* Rapport annuel sur l état des risques professionnels.;0;0;0;0;18/07/2026
Santé Sécurité;Persons / services d experts OST;0;"Décert exécutif 05-09 du 08 janvier 2005 sur les commissions conjointes pour l hygiéne et la sécurité; Art. 20";13;L installation garantit que le registre de l hygiéne, de la santé et de la santé au travail ainsi que le registre des accidents professionnels est mis à la disposition de l inspecteur du travail et de tout autre organisme autorisé.;* Registre des accidents professionnels * Inscrivez-vous à la sécurité et à la santé au travail;0;0;0;0;18/07/2026
Santé Sécurité;Persons / services d experts OST;0;"Décert exécutif 05-09 du 08 janvier 2005 sur les commissions conjointes pour l hygiéne et la sécurité; Art. 25";14;L employeur s assure que le rapport annuel sur l état des risques professionnels ainsi que le rapport d évaluation (rapport Bilan) sont conservés dans le registre de l hygiéne, de la sécurité et de la santé au travail.;* Rapport annuel sur l état des risques professionnels. * Registre de l hygiéne, de la santé et de la santé au travail;0;0;0;0;18/07/2026
Santé Sécurité;Comité H&S;0;"Loi 90-11 du 21 avril 1990 sur les relations de travail; Art. 93";15;Un comité de participation a été créé dans un établissement ayant au moins 20 employés.;nan;0;0;0;0;18/07/2026
Santé Sécurité;Comité H&S;0;"Décert exécutif 05-11 du 08 janvier 2005 sur les conditions de création, de fonctionnement, d organisation du service et de la sécurité d hygiéne; Art. 3";16;Si l établissement emploie plus de 50 employés, il crée un service (section) pour l hygiéne et la sécurité.;nan;0;0;0;0;18/07/2026
Santé Sécurité;Comité H&S;0;"Décert exécutif 05-11 du 08 janvier 2005 sur les conditions de création, de fonctionnement, d organisation du service et de la sécurité d hygiéne; Art. 6";17;Le service d hygiéne et de sécurité est de la responsabilité du personnel qualifié et expérimenté.;nan;0;0;0;0;18/07/2026
Santé Sécurité;Comité H&S;0;"Décert exécutif 05-11 du 08 janvier 2005 sur les conditions de création, de fonctionnement, d organisation du service et de la sécurité d hygiéne; Art. 13";18;Le service d hygiéne et de sécurité maintient et met à jour un registre pour l hygiéne, la sécurité et la santé au travail.;* Inscrivez-vous à la sécurité et à la santé au travail;0;0;0;0;18/07/2026
Santé Sécurité;Comité H&S;0;"Décert exécutif 05-11 du 08 janvier 2005 sur les conditions de création, de fonctionnement, d organisation du service et de la sécurité d hygiéne; Art. 13";19;Le service d hygiéne et de sécurité maintient et met à jour un registre des vérifications techniques de l équipement et des installations.;* Registre des vérifications techniques de l équipement et des installations;0;0;0;0;18/07/2026
Santé Sécurité;Comité H&S;0;"Loi 88-07 du 26 janvier 1988 sur l hygiéne, la sécurité et les soins de santé au travail; Art. 23 Décert exécutif 05-09 du 08 janvier 2005 sur les commissions conjointes pour l hygiéne et la sécurité; Art. 2";20;Si l installation emploie plus de neuf travailleurs ayant un contrat de durée indéterminé, il crée des commissions bipartites pour l hygiéne et la sécurité.;nan;0;0;0;0;18/07/2026
Santé Sécurité;Comité H&S;0;"Décert exécutif 05-11 du 08 janvier 2005 sur les conditions de création, de fonctionnement, d organisation du service et de la sécurité d hygiéne; Art. 13";21;Le service d hygiéne et de sécurité maintient un registre à jour des accidents professionnels.;* Registre des accidents professionnels;0;0;0;0;18/07/2026
Santé Sécurité;Comité H&S;0;"Décriture exécutive 05-10 du 08 janvier 2005 sur l organisation et le fonctionnement du Comité inter-entreprises pour l hygiéne et la sécurité; Art. 2";22;Si, dans le même lieu de travail, plus d une entreprise appartenant au même secteur d activités est regroupé pour mener une activité pendant une période déterminée et employant des travailleurs ayant des contrats à période fixe, l installation a créé un comité inter-entreprises pour l hygiéne et la sécurité.;nan;0;0;0;0;18/07/2026
Santé Sécurité;Comité H&S;0;"Décriture exécutive 05-10 du 08 janvier 2005 sur l organisation et le fonctionnement du Comité inter-entreprises pour l hygiéne et la sécurité; Art. 6";23;Le Comité inter-entreprises pour l hygiéne et la sécurité est créé dans les 15 jours suivant le début des opérations.;nan;0;0;0;0;11/07/2026
Santé Sécurité;Comité H&S;0;"Décert exécutif 05-11 du 08 janvier 2005 sur les conditions de création, de fonctionnement, d organisation du service et de la sécurité d hygiéne; Art. 18";24;Le service d hygiéne et de sécurité prépare un rapport annuel répertoriant et évaluant les activités d hygiéne et de sécurité dans l installation et de présenter des propositions pour améliorer l organisation et le fonctionnement de ces activités.;* Rapport annuel audit les activités d hygiéne et de sécurité dans l installation et de présenter des propositions pour améliorer l organisation et le fonctionnement de ces activités;0;0;0;0;11/07/2026
Santé Sécurité;Comité H&S;0;"Décriture exécutive 05-10 du 08 janvier 2005 sur l organisation et le fonctionnement du Comité inter-entreprises pour l hygiéne et la sécurité; Art. 8";25;Le Comité inter-entreprises pour l hygiéne et la sécurité se réunit une fois par trimestre.;* Dossiers des réunions du Comité inter-entreprises pour l hygiéne et la sécurité;0;0;0;0;11/07/2026
Santé Sécurité;Comité H&S;0;"Décriture exécutive 05-10 du 08 janvier 2005 sur l organisation et le fonctionnement du Comité inter-entreprises pour l hygiéne et la sécurité; Art. 19";26;Une zone sur le lieu de travail est accessible au comité inter-entreprises pour l hygiéne et la sécurité.;nan;0;0;0;0;11/07/2026
Santé Sécurité;Comité H&S;0;"Décriture exécutive 05-10 du 08 janvier 2005 sur l organisation et le fonctionnement du Comité inter-entreprises pour l hygiéne et la sécurité; Art. 15";27;Le comité inter-entreprises pour l hygiéne et la sécurité crée une structure pour la mise en œuvre et le suivi.;nan;0;0;0;0;17/07/2026
Santé Sécurité;Comité H&S;0;"Décert exécutif 05-09 du 08 janvier 2005 sur les commissions conjointes pour l hygiéne et la sécurité; Art. 20";28;L installation garantit que le rapport des réunions de la Commission d une entreprise ou d une unité ainsi que tous les rapports établis par la Commission sont placés dans le registre de l hygiéne, de la sécurité et de la santé au travail.;* Rapport annuel sur l état des risques professionnels. * Rapports fait par la Commission bipartite pour l hygiéne et la sécurité. * Rapports des réunions de la Commission bipartite pour l hygiéne et la sécurité.;0;0;0;0;17/07/2026
Santé Sécurité;Comité H&S;0;"Décert exécutif 05-11 du 08 janvier 2005 sur les conditions de création, de fonctionnement, d organisation du service et de la sécurité d hygiéne; Art. 18";29;Le rapport annuel sur l audit de l hygiéne et des activités de sécurité dans l établissement a été soumis à la Commission bipartite pour la santé et la sécurité et transmis par l employeur à la direction de la santé et de la population ainsi que de l inspection du travail.;* Rapport annuel audit les activités d hygiéne et de sécurité dans l installation et de présenter des propositions pour améliorer l organisation et le fonctionnement de ces activités;0;0;0;0;17/07/2026
Santé Sécurité;Comité H&S;0;"Décert exécutif 05-09 du 08 janvier 2005 sur les commissions conjointes pour l hygiéne et la sécurité; Art. 17";30;L installation garantit que les membres de la Commission bipartite se réunissent au moins une fois par trimestre pour une entreprise et une fois par mois pour une unité.;* Record des réunions des membres de la Commission bipartite pour une entreprise * Record des réunions des membres de la Commission bipartite pour une unité;0;0;0;0;17/07/2026
Santé Sécurité;L évaluation des risques;0;"Décret exécutif 06-198 du 31 mai 2006 sur le réglement régissant les établissements classées pour la protection de l environnement; Art. 14 Ordonnance interministérielle du 14 septembre 2014 établissant les procédures d examen et d approbation des études d évaluation des risques; Art. 2; Art. 9";1;Si l installation est un établissement classée mettant en œuvre des activités soumises à une étude sur les dangers (Étude de dangers), elle a effectué une évaluation des risques requise dans l étude des dangers.;*L évaluation des risques;0;0;0;0;17/07/2026
Santé Sécurité;Déclaration;0;"Décret exécutif 06-198 du 31 mai 2006 sur le réglement régissant les établissements classées pour la protection de l environnement; Art. 37";2;Si l installation est un établissement classée en fonction de la nomenclature d installation classéee, et si elle a subi des dommages-intérêts en raison d un incendie, d une explosion ou d un accident, il a transmis un rapport au président du comité d inspection d installation classée.;* Rapport sur les dommages dus à un incendie, à une explosion ou à tout accident dans un établissement classée;0;0;0;0;17/07/2026
Santé Sécurité;Déclaration;0;"Décret interministériel du 09 juin 1997 répertoriant les travaux où les employés sont trés exposés aux risques professionnels; Art. 3";3;L employeur effectuant des travaux répertoriés dans l annexe à l ordre interministériel du 09 juin 1997 les déclare aux autorités compétentes.;* Déclaration de travaux exposant les travailleurs aux risques professionnels (travaux répertoriés dans l annexe à l ordre interministériel du 09 juin 1997);0;0;0;0;17/07/2026
Santé Sécurité;Entraînement;0;"Décret exécutif 02-427 du 07 décembre 2002 sur les conditions d organisation de l enseignement, de l information et de la formation des travailleurs sur la prévention des risques professionnels; Art. 3";1;L employeur a effectué des séances de formation et d information pour les travailleurs sur les risques associés aux opérations et aux actions à entreprendre en cas d accidents.;* Dossiers de formation des employés;0;0;0;0;17/07/2026
Santé Sécurité;Entraînement;0;"Décret exécutif 02-427 du 07 décembre 2002 sur les conditions d organisation de l enseignement, de l information et de la formation des travailleurs sur la prévention des risques professionnels; Art. 19";2;L établissement garantit une formation appropriée aux travailleurs.;* Dossiers de formation des employés;0;0;0;0;17/07/2026
Santé Sécurité;Entraînement;0;"Décret exécutif 02-427 du 07 décembre 2002 sur les conditions d organisation de l enseignement, de l information et de la formation des travailleurs sur la prévention des risques professionnels; Art. 9";3;Selon les risques qui doivent être évités, l employeur organise une session pour que les travailleurs expliquent les mesures de sécurité prescrites.;nan;0;0;0;0;17/07/2026
Santé Sécurité;Entraînement;0;"Décret exécutif 02-427 du 07 décembre 2002 sur les conditions d organisation de l enseignement, de l information et de la formation des travailleurs sur la prévention des risques professionnels; Art. 11";4;L établissement garantit que la formation est dispensée aux travailleurs par des organismes compétents et des établissements spécialisés dans la prévention des risques professionnels.;* Dossiers de formation des employés;0;0;0;0;17/07/2026
Santé Sécurité;Entraînement;0;"Décret exécutif 02-427 du 07 décembre 2002 sur les conditions d organisation de l enseignement, de l information et de la formation des travailleurs sur la prévention des risques professionnels; Art. 13";5;L installation garantit que la formation à la sécurité est divisée en deux parties, la premiére concernant la théorie et la seconde à pratiquer.;* Records de formation théorique sur la sécurité professionnelle * Records de formation pratique sur la sécurité au travail;0;0;0;0;17/07/2026
Santé Sécurité;Entraînement;0;"Décret exécutif 02-427 du 07 décembre 2002 sur les conditions d organisation de l enseignement, de l information et de la formation des travailleurs sur la prévention des risques professionnels; Art. 15";6;Si un besoin de formation sur un danger spécifique émerge, l établissement garantit que les cours et les séances de formation sont données par un établissement approprié ayant des chambres et des moyens appropriés pour effectuer la formation spécifique.;nan;0;0;0;0;17/07/2026
Santé Sécurité;Entraînement;0;"Décret exécutif 02-427 du 07 décembre 2002 sur les conditions d organisation de l enseignement, de l information et de la formation des travailleurs sur la prévention des risques professionnels; Art. 8";7;L employeur donne des instructions sur les actions à prendre en cas d incidents techniques ou d accidents professionnels.;* Dossiers de formation des employés;0;0;0;0;17/07/2026
Santé Sécurité;Entraînement;0;"Décret exécutif 02-427 du 07 décembre 2002 sur les conditions d organisation de l enseignement, de l information et de la formation des travailleurs sur la prévention des risques professionnels; Art. 21";8;L installation garantit que les membres de la Commission bipartite relative à l hygiéne et à la sécurité reçoivent une formation appropriée pendant leur mandat.;* Dossiers de formation des employés;0;0;0;0;17/07/2026
Santé Sécurité;Entraînement;0;"Loi 88-07 du 26 janvier 1988 sur l hygiéne, la sécurité et les soins de santé au travail; Art. 23";9;L installation garantit un membre des commissions bipartites pour l hygiéne et la sécurité, ainsi que la personne nommée pour l hygiéne et la sécurité, reçoivent une formation appropriée.;* Dossiers de formation des employés;0;0;0;0;17/07/2026
Santé Sécurité;Jeunes travailleurs;0;"Loi 90-11 du 21 avril 1990 sur les relations de travail; Art. 15";1;L employeur n engage pas de travailleurs qui ont moins de 16 ans.;* Enregistrement montrant l âge des employés;0;0;0;0;17/07/2026
Santé Sécurité;Jeunes travailleurs;0;"Loi 90-11 du 21 avril 1990 sur les relations de travail; Art. 15";2;L employeur n attribue pas de jeunes travailleurs à des tâches dangereuses, insalubres ou nocives pour la santé.;* Enregistrement montrant l âge des employés;0;0;0;0;17/07/2026
Santé Sécurité;Jeunes travailleurs;0;"Loi 90-11 du 21 avril 1990 sur les relations de travail; Art. 27";3;L employeur n attribue pas de travailleurs qui ont moins de 19 ans pour travailler la nuit.;nan;0;0;0;0;17/07/2026
Santé Sécurité;Jeunes travailleurs;0;"Loi 90-11 du 21 avril 1990 sur les relations de travail; Art. 15";4;L établissement emploie de jeunes travailleurs que s ils ont une autorisation écrite de leurs tuteurs.;* Autorisation écrite des tuteurs des jeunes travailleurs;0;0;0;0;17/07/2026
Santé Sécurité;Travailleurs enceintes et allaités;0;"Décret exécutif 05-08 du 08 janvier 2005 sur des prescriptions particuliéres applicables aux substances, matériaux et produits dangereux en milieu de travail; Art. 12";5;L établissement garantit que les travailleurs enceintes ou l allaitement ne sont pas affectés à des postes de travail où ils seront exposés à des substances, produits ou préparations dangereux.;nan;0;0;0;0;17/07/2026
Santé Sécurité;Employés de nuit;0;"Loi 90-11 du 21 avril 1990 sur les relations de travail; Art. 29";6;L employeur n attribue pas de travailleuses au travail de nuit.;nan;0;0;0;0;17/07/2026
